id,商品条形码,商品名称,品牌,具体产品,单位,口味,规格,标签
1,8806002016917,100ml维他500苹果味饮料,维他,维他500饮料,瓶装,苹果味,100ml,wt-wt500yl-pz-pgw-100ml
2,4711609000778,330ml乡田真纯豆奶,乡田真,乡田真纯豆奶,瓶装,原味,330ml,xtz-xtzcdn-pz-yw-330ml
3,8886471309871,35g果果先森三色果干,果果先森,果果先森三色果干,袋装,原味,35g,ggxs-ggxsssgg-dz-yw-35g
4,9555814800052,60g贝鲁斯鱿鱼鲜,贝鲁斯,贝鲁斯鱿鱼鲜,袋装,原味,60g,bls-blsyyx-dz-yw-60g
5,8997031609024,30g奥嘉莱印尼虾片-披萨味,奥嘉莱,奥嘉莱印尼虾片,袋装,披萨味,30g,ajl-ajlynxp-dz-psw-30g
6,8997788990864,30g奥嘉莱印尼蟹片-烤蟹味,奥嘉莱,奥嘉莱印尼蟹片,袋装,烤蟹味,30g,ajl-ajlynxp-dz-kxw-30g
7,8997788990857,30g奥嘉莱印尼蟹片-黑胡椒味,奥嘉莱,奥嘉莱印尼蟹片,袋装,黑胡椒味,30g,ajl-ajlynxp-dz-hhjw-30g
8,9555814800038,60g贝鲁斯切达干酪芝士圈,贝鲁斯,贝鲁斯切达干酪芝士圈,袋装,原味,60g,bls-blsqdgnzsq-dz-yw-60g
9,8997031609017,30g奥嘉莱印尼虾片-原味,奥嘉莱,奥嘉莱印尼虾片,袋装,原味,30g,ajl-ajlynxp-dz-yw-30g
10,8997031609031,30g奥嘉莱印尼虾片-火辣味,奥嘉莱,奥嘉莱印尼虾片,袋装,火辣味,30g,ajl-ajlynxp-dz-hlw-30g
11,8997788990802,30g奥嘉莱印尼虾片-烧烤味,奥嘉莱,奥嘉莱印尼虾片,袋装,烧烤味,30g,ajl-ajlynxp-dz-skw-30g
12,4897047806605,25g芝麻街牛奶片-蜂蜜味,芝麻街,芝麻街牛奶片,袋装,蜂蜜味,25g,zmj-zmjnnp-dz-fmw-25g
13,4897047806469,25g芝麻街牛奶片-原味,芝麻街,芝麻街牛奶片,袋装,原味,25g,zmj-zmjnnp-dz-yw-25g
14,8852690002930,40g苏梅SAMUI椰子脆片,苏梅SAMUI,苏梅SAMUI椰子脆,袋装,原味,40g,smSAMUI-smSAMUIyzc-dz-yw-40g
15,9556345280016,60g妙妙鸡味香脆片,妙妙,妙妙鸡味香脆片,包装,鸡味,60g,mm-mmjwxcp-bz-jw-60g
16,9556345007491,60g妙妙鱿鱼味卷,妙妙,妙妙鱿鱼味卷,包装,鱿鱼味,60g,mm-mmyywj-bz-yyw-60g
17,9556345008573,60g妙妙虾味香脆棒,妙妙,妙妙虾味香脆棒,包装,虾味,60g,mm-mmxwxcb-bz-xw-60g
18,8991102281416,115g明茨MintZ薄荷味软糖,明茨MintZ,明茨MintZ软糖,袋装,薄荷味,115g,mcMintZ-mcMintZrt-dz-bhw-115g
19,8991102281430,115g明茨MintZ双重薄荷味软糖,明茨MintZ,明茨MintZ软糖,袋装,双重薄荷味,115g,mcMintZ-mcMintZrt-dz-scbhw-115g
20,8961003011733,84g露怡椰子味曲奇饼干,露怡,露怡曲奇饼干,袋装,椰子味,84g,ly-lyqqbg-dz-yzw-84g
