商品条形码,商品名称
8858702410823,27g老板仔紫菜卷-原味
9555280603119,132g 新乐记牌猫山王榴莲饼（热加工糕点）
8801019606540,60g海太蜂蜜黄油薯片
4901830351705,90g三立白巧克力味夹心饼干
4719684105333,180g昇田咸蛋麦芽饼
4895058312139,154gEDO.pack凤梨酥
4895058313075,154gEDO.pack芒果酥
8852023664101,230g大哥牌香脆日本芥末花生豆
8852023665511,230g大哥牌烧烤味花生豆
4711155314312,130g 品味本铺牛奶口味蛋酥-蛋型
4712883741296,260g新巧风手工牛轧糖（原味）
9331275008288,150g瑞丹多牌威化卷心酥(巧克力味)
8809260943360,（36g×4支）三进三进黑X-5夹心巧克力棒（四支装) 
8809260944787,144g三进x-5花生香蕉巧克力棒（4支装）
8801019312878,108g 海太烤薯棒饼干
8809260944770,144g三进X-5花生巧克力棒（4支装）
838452005164,75g健仕动物形饼干
77330170116,90g丹麦蓝罐曲奇
9556023210229,60g杰克袋装薯片-烧烤味
9556023210212,60g杰克袋装薯片-原味
8809424900932,5g*3迪士尼传统海苔
4712782568109,80g榙榙咸鸭蛋黄饼干
8801074256568,36g客唻美奶酪鳕鱼饼（原味）
8801074001649,36g客唻美奶酪鳕鱼饼（虾味）
8801074001656,36g客唻美奶酪鳕鱼饼（蟹味）
9556218128179,120g伦敦奶酪奶油味心形蛋糕
9556218128186,120g伦敦牛奶味心形蛋糕
8938521254034,100g河马莉迷你蛋酥-特浓牛奶味
8938521254041,100g河马莉迷你蛋酥-综合水果味
9556023222161,184g ZESS杰思牌原味梳打饼干
9556023223892,148g ZESS杰思牌巧克力味饼干
9556296300993,150g乐一百cocoalaland巧克力派
9556296313207,150g乐一百cocoalaland（黑色）巧克力派
9556296314464,150g乐一百cocoalaland巧克力派（草莓味）
4897035711294,100g拉菲原味牛奶片-袋装
8850267117629,（125ml*6）力大狮原味豆奶饮料
4711931012203,152g皇族和风花生夹心糯米饼
4711931012197,152g皇族和风芝麻夹心糯米饼
8993175537391,200g（20×10g）丽芝士纳宝帝奶酪威化饼干
8993175537605,160g（20×8g）丽芝士雅嘉奶酪夹心玉米棒
9556023220068,108g福多提拉米苏味蛋糕
4901620147129,49.7g 可可味脆派（日清巧克力麦脆披萨）
9556023223687,144g ZESS杰思牌柠檬味夹心饼干（方形）
9556023223328,156.8g ZESS杰思牌香草巧克力味夹心饼干
4711162821322,180g北田能量99棒蛋黄口味
4711162821803,180g北田能量99棒芋头口味
4895058314287,150gEDO.pack巨浪大切薯片-香辣味
4895058314508,150gEDO.pack巨浪大切薯片-原味
4903316430805,110g 理本生梅怡糖
8851019010144,45g格力高Pocky草莓味涂层饼干（盒装）
8961003010316,108g露怡焦糖味酥性饼干
8961003010217,84g露怡TUC咸脆饼干
4710035330169,45g森永多乐福水果硬糖（混合水果味）
9556023985578,60g杰克薯片（原味）
9556023652142,60g杰克薯片（香辣味）
8936137560501,200g 黄龙绿豆糕
8993083932936,80g河马莉牌巧克力味小熊造型夹心饼干
4897035711560,50g拉菲原味牛奶糖
4710873700216,500ml名屋水蜜桃汁饮料
4710873700148,500ml名屋综合果汁饮料
4710873700209,500ml名屋芒果汁饮料
4710873700230,500ml名屋葡萄果汁
8809022201035,35g汤姆农场蜂蜜黄油扁桃仁
4710199080566,80g维力张君雅小妹妹五香海苔休闲丸子
4710199085707,80g维力张君雅小妹妹日式串烧休闲丸子
4710199087701,78g维力张君雅小妹妹墨西哥辣鸡点心面
4710199085509,100g维力张君雅小妹妹碳烤鸡汁点心面
8801019311932,121g 海太ACE饼干
8851019010465,44g格力高pejoy巧克力味注心饼干
8936068230924,50g榙榙芒果干
8936068230948,50g榙榙黄桃干
8855044019745,290mlNit@奇亚籽草莓汁饮料
8855044019776,290mlNit@奇亚籽百香果汁饮料
8855044019752,290mlNit@奇亚籽芒果汁饮料
8855044018212,290mlNit@奇亚籽荔枝汁饮料
4710944702026,30g 雪天果蜂蜜柠檬味软喉糖-老虎头（台湾统一制果）
4710944702002,30g 雪天果枇杷味软喉糖-公鸡头（台湾统一制果）
8855044004628,290ml乐可芬椰子汁饮料（含椰果）（原味）
8855044006684,290ml乐可芬芒果味椰子汁饮料（含椰果）
8855044006691,290ml乐可芬木瓜味椰子汁饮料（含椰果）
8936094346071,75g榙榙综合蔬果干
8852014003049,20g小P厨金枪鱼派-原味
8852014003056,20g小P厨金枪鱼派-咖喱味
8806002016917,100ml 维他500苹果味饮料
4711609000778,330ml乡田真纯豆奶
8886471309512,40g果果先森蔓越莓干
8886471309871,35g果果先森三色果干
8886471309895,15g果果先森樱桃干
8851019010229,25g格力高Pocky芒果味涂层饼干
8851019010274,25g格力高Pocky巧克力香蕉味涂层饼干
8993175537469,145g丽芝士纳宝帝奶酪威化饼干
4710085107155,240ml伯朗咖啡饮料-卡布奇诺风味
8851019030494,37g格力高PRETZ香辣虾味饼干（极细）
9555814800052,60g贝鲁斯鱿鱼鲜
8997031609024,30g奥嘉莱印尼虾片-披萨味
8997788990864,30g奥嘉莱印尼蟹片-烤蟹味
9555814800038,60g贝鲁斯切达干酪芝士圈
8851019030487,37g格力高PRETZ烧烤风味饼干（极细）
8997031609017,30g奥嘉莱印尼虾片-原味
8997031609031,30g奥嘉莱印尼虾片-火辣味
8997788990857,30g奥嘉莱印尼蟹片-黑胡椒味
8997788990802,30g奥嘉莱印尼虾片-烧烤味
4897047806605,25g芝麻街牛奶片-蜂蜜味
4897047806469,25g芝麻街牛奶片-原味
